community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Chavannes-le-Chêne,316,400,79,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Chavannes-le-Ch%C3%AAne-coat_of_arms.svg/35px-Chavannes-le-Ch%C3%AAne-coat_of_arms.svg.png,0.0,94.96753246753246,0.0,18.993506493506494
Mutrux,151,323,47,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Mutrux-coat_of_arms.svg/35px-Mutrux-coat_of_arms.svg.png,0.0,84.65909090909089,0.0,16.93181818181818
Assens,1672,534,313,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Blason_commune_CH_Assens_%28Vaud%29.svg/35px-Blason_commune_CH_Assens_%28Vaud%29.svg.png,0.0,84.25324675324674,0.0,16.85064935064935
Burtigny,414,568,73,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Burtigny-coat_of_arms.svg/35px-Burtigny-coat_of_arms.svg.png,0.0,79.54545454545455,0.0,15.90909090909091
Valeyres-sous-Rances,606,634,96,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Valeyres-sous-Rances-coat_of_arms.svg/35px-Valeyres-sous-Rances-coat_of_arms.svg.png,0.0,78.97727272727273,0.0,15.795454545454547
Allaman,424,260,163,Rolle,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/CHE_Allaman_COA.svg/35px-CHE_Allaman_COA.svg.png,0.0,63.149350649350644,0.0,12.62987012987013
Valeyres-sous-Ursins,241,287,84,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Valeyres-sous-Ursins-coat_of_arms.svg/35px-Valeyres-sous-Ursins-coat_of_arms.svg.png,0.0,63.06818181818181,0.0,12.613636363636363
Montanaire,2819,3350,84,Moudon Yverdon,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Blason_commune_CH_Montanaire_%28Vaud%29.svg/35px-Blason_commune_CH_Montanaire_%28Vaud%29.svg.png,0.0,60.3896103896104,0.0,12.07792207792208
Longirod,538,945,57,Aubonne,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Longirod-coat_of_arms.svg/35px-Longirod-coat_of_arms.svg.png,0.0,55.032467532467535,0.0,11.006493506493507
Pompaples,858,444,193,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Pompaples-coat_of_arms.svg/35px-Pompaples-coat_of_arms.svg.png,0.0,50.08116883116883,0.0,10.016233766233768
Rolle,6322,274,2307,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/CHE_Rolle_COA.svg/35px-CHE_Rolle_COA.svg.png,0.0,47.40259740259741,0.0,9.480519480519481
Oppens,203,360,56,Yverdon,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/CHE_Oppens_COA.svg/35px-CHE_Oppens_COA.svg.png,0.0,46.75324675324675,0.0,9.35064935064935
Vuarrens,1107,897,123,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Vuarrens-coat_of_arms.svg/35px-Vuarrens-coat_of_arms.svg.png,0.0,46.42857142857143,0.0,9.285714285714286
Yverdon-les-Bains,29827,1354,2203,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/CHE_Yverdon-les-Bains_VD_COA.svg/35px-CHE_Yverdon-les-Bains_VD_COA.svg.png,0.0,45.51495016611295,0.0,9.102990033222591
Villars-le-Comte,138,420,33,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/GX-VD-Villars-le-Comte.png/35px-GX-VD-Villars-le-Comte.png,0.0,44.68641114982579,0.0,8.937282229965158
